2025-03-29 17:34:09.092 [warning] Dir "/home/sandyaa2004/.pixi/envs" is not watchable (directory does not exist)
2025-03-29 17:34:09.092 [info] Python interpreter path: /bin/python
2025-03-29 17:34:09.114 [info] > pyenv which python
2025-03-29 17:34:09.114 [info] cwd: .
2025-03-29 17:34:14.518 [info] Starting Jedi language server for sandyaa2004.
2025-03-29 17:41:42.068 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/rag_setup.py
2025-03-29 17:41:59.610 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 17:42:14.336 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:42:36.023 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/check_corpora.py
2025-03-29 17:42:47.958 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 17:45:08.824 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/import_files.py
2025-03-29 17:46:50.319 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/list_files.py
2025-03-29 17:49:22.439 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:50:25.761 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:51:27.698 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:53:09.664 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:54:01.646 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:54:48.606 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:55:10.585 [info] CreateEnv Trigger - Skipping for /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:55:10.979 [info] Send text to terminal: /bin/python /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:56:10.609 [info] Discover tests for workspace name: undefined - uri: /User/settings.json
2025-03-29 17:56:38.073 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:56:52.742 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
2025-03-29 17:59:39.490 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/retrieve_rag.py
